,Name.x,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Name.y,City,State,abbr,Beerclass,Beerclass_Colour
393,Bitter Bitch,1979,0.061,60,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN,IN,ALE,red
394,Bitter American,876,0.044,42,369,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA,CA,ALE,red
395,Special Edition: Allies Win The War!,531,0.085,52,369,English Strong Ale,12,21st Amendment Brewery,San Francisco, CA,CA,ALE,red
396,Bitter American (2011),353,0.044,42,369,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA,CA,ALE,red
397,Back in Black,173,0.068,65,369,American Black Ale,12,21st Amendment Brewery,San Francisco, CA,CA,ALE,red
398,Monk's Blood,11,0.083,35,369,Belgian Dark Ale,12,21st Amendment Brewery,San Francisco, CA,CA,ALE,red
399,Send Help,2544,0.045,18,61,American Blonde Ale,12,4 Hands Brewing Company,Saint Louis, MO,MO,ALE,red
400,Contact High,1870,0.05,28,61,American Pale Wheat Ale,12,4 Hands Brewing Company,Saint Louis, MO,MO,ALE,red
401,Ironman,2218,0.09,50,28,English Strong Ale,16,450 North Brewing Company,Columbus, IN,IN,ALE,red
402,Copperhead Amber,2216,0.052,18,28,Belgian Dark Ale,16,450 North Brewing Company,Columbus, IN,IN,ALE,red
403,British Pale Ale (2010),866,0.054,30,482,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor, WA,WA,ALE,red
404,British Pale Ale,48,0.054,30,482,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor, WA,WA,ALE,red
405,The Brown Note,2539,0.05,20,63,American Brown Ale,16,Against The Grain Brewery,Louisville, KY,KY,ALE,red
406,A Beer,2683,0.042,42,2,American Pale Ale (APA),16,Against the Grain Brewery,Louisville, KY,KY,ALE,red
407,Flesh Gourd'n,2681,0.066,21,2,Pumpkin Ale,16,Against the Grain Brewery,Louisville, KY,KY,ALE,red
408,Sho'nuff,2680,0.04,13,2,Belgian Pale Ale,16,Against the Grain Brewery,Louisville, KY,KY,ALE,red
409,Coq de la Marche,2677,0.051,38,2,Saison / Farmhouse Ale,16,Against the Grain Brewery,Louisville, KY,KY,ALE,red
410,The Brown Note,2674,0.05,20,2,English Brown Ale,16,Against the Grain Brewery,Louisville, KY,KY,ALE,red
411,Oatmeal PSA,1162,0.05,35,368,American Pale Ale (APA),16,Airways Brewing Company,Kent, WA,WA,ALE,red
412,Klickitat Pale Ale,2402,0.053,36,118,American Pale Ale (APA),12,Alameda Brewing,Portland, OR,OR,ALE,red
413,Freeride APA,1921,0.053,40,271,American Pale Ale (APA),12,Alaskan Brewing Company,Juneau, AK,AK,ALE,red
414,Summer Solstice,1350,0.056,4,172,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA,CA,ALE,red
415,Boont Amber Ale,1326,0.058,15,172,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA,CA,ALE,red
416,Boont Amber Ale (2010),811,0.058,15,172,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA,CA,ALE,red
417,Summer Solstice Cerveza Crema (2009),753,0.056,4,172,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA,CA,ALE,red
418,Boont Amber Ale (2011),78,0.058,15,172,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA,CA,ALE,red
